Description,Bridge Item,Part Number,W,L,Color,Edge,Material Charge,Total Charge
"Door,Blind Panel 21.8125 x 90 Windswept WINDSWEPT BRONZE",WXL Door,811306,12.8125,90,WINDSWEPT BRONZE,WINDSWEPT BRONZE,35.40
"Door,Blind Panel 21.8125 x 90 Windswept WINDSWEPT PEWTER",WXL Door,831306,12.8125,90,WINDSWEPT PEWTER,WINDSWEPT PEWTER,35.40
"Door,Sliding 23.875 x 71 HARDROCK MAPLE",WXL Door,800314,23.875,71,HARDROCK MAPLE,HARDROCK MAPLE,28.25
"Door,Sliding 23.875 x 71 Windswept WINDSWEPT BRONZE",WXL Door,810314,23.875,71,WINDSWEPT BRONZE,WINDSWEPT BRONZE,31.37
"Door,Sliding 23.875 x 71 Windswept WINDSWEPT PEWTER",WXL Door,830314,23.875,71,WINDSWEPT PEWTER,WINDSWEPT PEWTER,33.60
"Door,Sliding 23.875 x 77 Granite",WXL Door,880311a,23.875,77,,,51.26
"Door,Sliding 23.875 x 77 HARDROCK MAPLE",WXL Door,800311,23.875,77,HARDROCK MAPLE,HARDROCK MAPLE,28.25
"Door,Sliding 23.875 x 77 Red",WXL Door,880311b,23.875,77,,,51.26
"Door,Sliding 23.875 x 77 Windswept WINDSWEPT BRONZE",WXL Door,810311,23.875,77,WINDSWEPT BRONZE,WINDSWEPT BRONZE,31.37
"Door,Sliding 23.875 x 77 Windswept WINDSWEPT PEWTER",WXL Door,830311,23.875,77,WINDSWEPT PEWTER,WINDSWEPT PEWTER,31.37
"Door,Sliding 23.875 x 83 Granite",WXL Door,880312a,23.875,83,,,53.16
"Door,Sliding 23.875 x 83 HARDROCK MAPLE",WXL Door,800312,23.875,83,HARDROCK MAPLE,HARDROCK MAPLE,28.25
"Door,Sliding 23.875 x 83 Red",WXL Door,880312b,23.875,83,,,53.16
"Door,Sliding 23.875 x 83 Windswept WINDSWEPT BRONZE",WXL Door,810312,23.875,83,WINDSWEPT BRONZE,WINDSWEPT BRONZE,33.73
"Door,Sliding 23.875 x 83 Windswept WINDSWEPT PEWTER",WXL Door,830312,23.875,83,WINDSWEPT PEWTER,WINDSWEPT PEWTER,33.73
"Door,Sliding 23.875 x 89 HARDROCK MAPLE",WXL Door,800313,23.875,89,HARDROCK MAPLE,HARDROCK MAPLE,28.25
"Door,Sliding 23.875 x 89 Windswept WINDSWEPT BRONZE",WXL Door,810313,23.875,89,WINDSWEPT BRONZE,WINDSWEPT BRONZE,36.08
"Door,Sliding 23.875 x 89 Windswept WINDSWEPT PEWTER",WXL Door,830313,23.875,89,WINDSWEPT PEWTER,WINDSWEPT PEWTER,36.08
"Drawer Box, 21.5 x 14.5 x 5",Drawer Box,820402,,,WHITE,WHITE,16.14
"Drawer Box, 21.5 x 14.5 x 11 (Unit packs 2 pcs.)",Drawer Box,820405,,,WHITE,WHITE,24.70
"Drawer Box, 21.5 x 18.5 x 11",Drawer Box,820408,,,WHITE,WHITE,27.17
"Drawer Box, 21.5 x 18.5 x 2.5",Drawer Box,820409,,,WHITE,WHITE,11.94
"Drawer Box, 21.5 x 18.5 x 5",Drawer Box,820407,,,WHITE,WHITE,14.72
"Drawer Box, 21.5 x 21.5 x 11 (Unit packs 2 pcs.)",Drawer Box,820404,,,WHITE,WHITE,25.42
"Drawer Box, 21.5 x 21.5 x 2.5",Drawer Box,820406,,,WHITE,WHITE,14.76
"Drawer Box, 21.5 x 21.5 x 5",Drawer Box,820403,,,WHITE,WHITE,18.97
"Drawer Box,Stainless 20.5 x 14.5 x 5",,820400,,,,,14.28
"Drawer Box,Stainless 20.5 x 21.5 x 11",,820410,,,,,24.84
"Drawer Box,Stainless 20.5 x 21.5 x 5",,820401,,,,,15.93
"Drawer Front,23.875 x 3.71875 Granite",,880502a,23.875,3.71875,,,8.52
"Drawer Front,23.875 x 3.71875 HARDROCK MAPLE",WXL Door,800502,23.875,3.71875,HARDROCK MAPLE,HARDROCK MAPLE,4.73
"Drawer Front,23.875 x 3.71875 Red",,880502b,23.875,3.71875,,,8.52
"Drawer Front,23.875 x 3.71875 White",WXL Door,820502,23.875,3.71875,WHITE,WHITE,3.73
"Drawer Front,23.875 x 3.71875 Windswept WINDSWEPT PEWTER",WXL Door,830502,23.875,3.71875,WINDSWEPT PEWTER,WINDSWEPT PEWTER,4.60
"Drawer Front,23.875 x 3.71875 Windswept WINDSWEPT BRONZE",WXL Door,810502,23.875,3.71875,WINDSWEPT BRONZE,WINDSWEPT BRONZE,4.60
"Drawer Front,23.875 x 7.5625 Granite",,880500a,23.875,7.5625,,,8.52
"Drawer Front,23.875 x 7.5625 HARDROCK MAPLE",WXL Door,800500,23.875,7.5625,HARDROCK MAPLE,HARDROCK MAPLE,4.73
"Drawer Front,23.875 x 7.5625 Red",,880500b,23.875,7.5625,,,8.52
"Drawer Front,23.875 x 7.5625 White",WXL Door,820500,23.875,7.5625,WHITE,WHITE,3.78
"Drawer Front,23.875 x 7.5625 Windswept WINDSWEPT BRONZE",WXL Door,810500,23.875,7.5625,WINDSWEPT PEWTER,WINDSWEPT PEWTER,4.60
"Drawer Front,23.875 x 7.5625 Windswept WINDSWEPT PEWTER",WXL Door,830500,23.875,7.5625,WINDSWEPT BRONZE,WINDSWEPT BRONZE,4.60
"Drawer Front,23.875 x15.3125 Granite(Unit pack 2 pcs.)",,880501a,23.875,15.3125,,,12.36
"Drawer Front,23.875 x 15.3125 HARDROCK MAPLE(Unit pack 2 pcs.)",WXL Door,800501,23.875,15.3125,HARDROCK MAPLE,HARDROCK MAPLE,8.40
"Drawer Front,23.875 x 15.3125 Red(Unit pack 2 pcs.)",,880501b,23.875,15.3125,,,12.36
"Drawer Front,23.875 x15.3125 White (Unit pack 2 pcs.)",WXL Door,820501,23.875,15.3125,WHITE,WHITE,7.40
"Drawer Front,23.875 x15.3125 Windswept WINDSWEPT BRONZE (Unit pack 2 pcs.)",WXL Door,810501,23.875,15.3125,WINDSWEPT PEWTER,WINDSWEPT PEWTER,8.10
"Drawer Front,23.875 x15.3125 Windswept WINDSWEPT PEWTER (Unit pack 2 pcs.)",WXL Door,830501,23.875,15.3125,WINDSWEPT BRONZE,WINDSWEPT BRONZE,8.10
"Nailer,3 x 22.5",ZZ Nailer DON'T DELETE,820640,22.5,3,PB,,1.64
"Nailer,3 x 46.5",ZZ Nailer DON'T DELETE,820641,46.5,3,PB,,2.83
"Partition,Center Divider 76 x 21.875 White",WXL Internal Component,821202,21.875,76,WHITE,WHITE,19.66
"Partition,Center Divider 82 x 21.875 White",WXL Internal Component,821203,21.875,76,WHITE,WHITE,21.16
"Partition,Center Divider 88 x 21.875 White",WXL Internal Component,821204,21.875,76,WHITE,WHITE,22.66
"Sample,Butcher Block Countertop",CTOP - Butcher Block,890020,,,,,26.25
"Sample,Granite Wood",,881400a,,,,,0.00
"Sample,HARDROCK MAPLE Wood",,801400,,,,,3.15
"Sample,Red Wood",,881400b,,,,,0.00
"Sample,White Wood",,821400,,,,,2.75
"Sample,WS WINDSWEPT BRONZE Wood",,811400,,,,,2.75
"Sample,WS WINDSWEPT PEWTER Wood",,831400,,,,,2.75
"Shelf,10.75 x 22.5 White",WXL Internal Component,820700,10.75,22.5,WHITE,WHITE,4.25
"Shelf,10.75 x 46.5 White",WXL Internal Component,820701,10.75,46.5,WHITE,WHITE,8.79
"Shelf,14.75 x 22.5 White",WXL Internal Component,820702,14.75,22.5,WHITE,WHITE,6.03
"Shelf,14.75 x 46.5 White",WXL Internal Component,820703,14.75,46.5,WHITE,WHITE,11.01
"Shelf,18.75 x 22.5 White",WXL Internal Component,820710,18.75,22.5,WHITE,WHITE,7.06
"Shelf,18.75 x 46.5 White",WXL Internal Component,820711,1875,46.5,WHITE,WHITE,13.86
"Shelf,21.75 x 22.5 White",WXL Internal Component,820704,21.75,22.5,WHITE,WHITE,8.29
"Shelf,21.75 x 46.5 White",WXL Internal Component,820705,21.75,46.5,WHITE,WHITE,16.00
"Shelf,Center Divider - 21.75 x 22.875 White",WXL Internal Component,820708,21.75,22.875,WHITE,WHITE,13.07
"Shelf,Fixed 21.75 x 22.5 White",WXL Internal Component,820706,21.75,22.5,WHITE,WHITE,13.07
"Shelf,Fixed 21.75 x 46.5 White",WXL Internal Component,820707,21.75,46.5,WHITE,WHITE,16.00
"Shelf,Fixed Center Divider 21.75 x 22.875 White",WXL Internal Component,820709,21.75,22.875,WHITE,WHITE,13.07
"Side,1 & 4 Drawer 16 x 31 HARDROCK MAPLE",WXL Side Panel,800904,16,31,HARDROCK MAPLE,HARDROCK MAPLE,10.59
"Side,1 & 4 Drawer 16 x 31 Windswept WINDSWEPT BRONZE",WXL Side Panel,810904,16,31,WINDSWEPT BRONZE,WINDSWEPT BRONZE,13.40
"Side,1 & 4 Drawer 16 x 31 Windswept WINDSWEPT PEWTER",WXL Side Panel,830904,16,31,WINDSWEPT PEWTER,WINDSWEPT PEWTER,13.40
"Side,1 & 4 Drawer 20 x 31 HARDROCK MAPLE",WXL Side Panel,800906,20,31,HARDROCK MAPLE,HARDROCK MAPLE,13.76
"Side,1 & 4 Drawer 20 x 31 Windswept WINDSWEPT BRONZE",WXL Side Panel,810906,20,31,WINDSWEPT BRONZE,WINDSWEPT BRONZE,16.53
"Side,1 & 4 Drawer 20 x 31 Windswept WINDSWEPT PEWTER",WXL Side Panel,830906,20,31,WINDSWEPT PEWTER,WINDSWEPT PEWTER,16.53
"Side,1 & 4 Drawer 23 x 31 HARDROCK MAPLE",WXL Side Panel,800905,23,31,HARDROCK MAPLE,HARDROCK MAPLE,15.03
"Side,1 & 4 Drawer 23 x 31 White",WXL Side Panel,820905,23,31,WHITE,WHITE,12.42
"Side,1 & 4 Drawer 23 x 31 Windswept WINDSWEPT BRONZE",WXL Side Panel,810905,23,31,WINDSWEPT BRONZE,WINDSWEPT BRONZE,18.87
"Side,1 & 4 Drawer 23 x 31 Windswept WINDSWEPT PEWTER",WXL Side Panel,830905,23,31,WINDSWEPT PEWTER,WINDSWEPT PEWTER,18.87
"Side,1& 4 Drawer 16 x 31 White",WXL Side Panel,820904,16,31,WHITE,WHITE,8.71
"Side,1& 4 Drawer 20 x 31 White",WXL Side Panel,820906,20,31,WHITE,WHITE,10.83
"Side,12 x 23.25 HARDROCK MAPLE",WXL Side Panel,800818,12,23.25,HARDROCK MAPLE,HARDROCK MAPLE,9.36
"Side,12 x 23.25 White",WXL Side Panel,820818,12,23.25,WHITE,WHITE,10.93
"Side,12 x 23.25 Windswept WINDSWEPT BRONZE",WXL Side Panel,810818,12,23.25,WINDSWEPT BRONZE,WINDSWEPT BRONZE,12.01
"Side,12 x 23.25 Windswept WINDSWEPT PEWTER",WXL Side Panel,830818,12,23.25,WINDSWEPT PEWTER,WINDSWEPT PEWTER,12.01
"Side,12 x 31 HARDROCK MAPLE",WXL Side Panel,800819,12,31,HARDROCK MAPLE,HARDROCK MAPLE,11.57
"Side,12 x 31 White",WXL Side Panel,820819,12,31,WHITE,WHITE,12.65
"Side,12 x 31 Windswept WINDSWEPT BRONZE",WXL Side Panel,810819,12,31,WINDSWEPT BRONZE,WINDSWEPT BRONZE,14.74
"Side,12 x 31 Windswept WINDSWEPT PEWTER",WXL Side Panel,830819,12,31,WINDSWEPT PEWTER,WINDSWEPT PEWTER,14.74
