PartID,CatalogID,PartString,Description - Updated 11/11/10,Quantity, Price ,Labor,Lin Ft Price, Item Price ,SuppressInBom,BulkPriced,HideInBom,SpecialFlags,Weight,Image
100004219,4,000.935.922.007.00M,"Adjustable Safety Shelf, (12x16), Chocolate Apple",1,13.4,0.025,,,FALSE,FALSE,0,"CutV,CutD",4,100001385
100004220,4,000.935.982.007.00M,"Adjustable Safety Shelf, (18x16), Chocolate Apple",1,17.93,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004221,4,000.935.012.007.00M,"Adjustable Safety Shelf, (24x16), Chocolate Apple",1,23.96,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004222,4,000.935.022.007.00M,"Adjustable Safety Shelf, (30x16), Chocolate Apple",1,28.48,0.025,,,FALSE,FALSE,0,"CutV,CutD",10,100001385
100004223,4,000.935.032.007.00M,"Adjustable Safety Shelf, (36x16), Chocolate Apple",1,33,0.025,,,FALSE,FALSE,0,"CutV,CutD",12,100001385
100004224,4,000.935.042.007.00M,"Adjustable Safety Shelf, (42x16), Chocolate Apple",1,37.52,0.025,,,FALSE,FALSE,0,"CutV,CutD",14,100001385
100004225,4,000.935.923.007.00M,"Adjustable Safety Shelf, (12x20), Chocolate Apple",1,16.42,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004226,4,000.935.983.007.00M,"Adjustable Safety Shelf, (18x20), Chocolate Apple",1,20.94,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004227,4,000.935.013.007.00M,"Adjustable Safety Shelf, (24x20), Chocolate Apple",1,26.97,0.025,,,FALSE,FALSE,0,"CutV,CutD",10,100001385
100004228,4,000.935.023.007.00M,"Adjustable Safety Shelf, (30x20), Chocolate Apple",1,31.49,0.025,,,FALSE,FALSE,0,"CutV,CutD",13,100001385
100004229,4,000.935.033.007.00M,"Adjustable Safety Shelf, (36x20), Chocolate Apple",1,36.02,0.025,,,FALSE,FALSE,0,"CutV,CutD",15,100001385
100004230,4,000.935.043.007.00M,"Adjustable Safety Shelf, (42x20), Chocolate Apple",1,40.54,0.025,,,FALSE,FALSE,0,"CutV,CutD",18,100001385
100004231,4,000.935.924.007.00M,"Adjustable Safety Shelf, (12x24), Chocolate Apple",1,17.93,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004232,4,000.935.984.007.00M,"Adjustable Safety Shelf, (18x24), Chocolate Apple",1,25.46,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004233,4,000.935.014.007.00M,"Adjustable Safety Shelf, (24x24), Chocolate Apple",1,33,0.025,,,FALSE,FALSE,0,"CutV,CutD",12,100001385
100004234,4,000.935.024.007.00M,"Adjustable Safety Shelf, (30x24), Chocolate Apple",1,40.54,0.025,,,FALSE,FALSE,0,"CutV,CutD",15,100001385
100004235,4,000.935.034.007.00M,"Adjustable Safety Shelf, (36x24), Chocolate Apple",1,48.08,0.025,,,FALSE,FALSE,0,"CutV,CutD",18,100001385
100004236,4,000.935.044.007.00M,"Adjustable Safety Shelf, (42x24), Chocolate Apple",1,55.61,0.025,,,FALSE,FALSE,0,"CutV,CutD",21,100001385
100004237,4,000.935.920.010.00M,"Adjustable Safety Shelf, (12x12), Hardrock Maple",1,9.15,0.025,,,FALSE,FALSE,0,"CutV,CutD",3,100001385
100004238,4,000.935.980.010.00M,"Adjustable Safety Shelf, (18x12), Hardrock Maple",1,12.92,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004239,4,000.935.010.010.00M,"Adjustable Safety Shelf, (24x12), Hardrock Maple",1,15.22,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004240,4,000.935.020.010.00M,"Adjustable Safety Shelf, (30x12), Hardrock Maple",1,19.22,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004241,4,000.935.030.010.00M,"Adjustable Safety Shelf, (36x12), Hardrock Maple",1,21.74,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
